2023-08-10 14:41:42,608 INFO  [background-preinit] (Version.java:21)- HV000001: Hibernate Validator 6.2.5.Final
2023-08-10 14:41:42,613 INFO  [main] (StartupInfoLogger.java:55)- Starting YecaoshiApplication using Java 18.0.2 on MAKJEARUYSKCDRG with PID 6508 (C:\Users\Administrator\IdeaProjects\demo1\Yecaoshi\target\classes started by Administrator in C:\Users\Administrator\IdeaProjects\demo1\Yecaoshi)
2023-08-10 14:41:42,613 INFO  [main] (SpringApplication.java:631)- No active profile set, falling back to 1 default profile: "default"
2023-08-10 14:41:43,384 INFO  [main] (TomcatWebServer.java:108)- Tomcat initialized with port(s): 8080 (http)
2023-08-10 14:41:43,385 INFO  [main] (DirectJDKLog.java:173)- Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-08-10 14:41:43,385 INFO  [main] (DirectJDKLog.java:173)- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2023-08-10 14:41:43,385 INFO  [main] (DirectJDKLog.java:173)- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-08-10 14:41:43,402 INFO  [main] (DirectJDKLog.java:173)- OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-08-10 14:41:43,410 INFO  [main] (DirectJDKLog.java:173)- Initializing ProtocolHandler ["http-nio-8080"]
2023-08-10 14:41:43,411 INFO  [main] (DirectJDKLog.java:173)- Starting service [Tomcat]
2023-08-10 14:41:43,411 INFO  [main] (DirectJDKLog.java:173)- Starting Servlet engine: [Apache Tomcat/9.0.69]
2023-08-10 14:41:43,506 INFO  [main] (DirectJDKLog.java:173)- Initializing Spring embedded WebApplicationContext
2023-08-10 14:41:43,507 INFO  [main] (ServletWebServerApplicationContext.java:292)- Root WebApplicationContext: initialization completed in 859 ms
2023-08-10 14:41:43,668 WARN  [main] (TableInfoHelper.java:423)- This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.example.yecaoshi.pojo.HUser"
2023-08-10 14:41:43,776 WARN  [main] (TableInfoHelper.java:423)- This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.example.yecaoshi.pojo.HGoods"
2023-08-10 14:41:44,092 INFO  [main] (DirectJDKLog.java:173)- Starting ProtocolHandler ["http-nio-8080"]
2023-08-10 14:41:44,106 INFO  [main] (TomcatWebServer.java:220)- Tomcat started on port(s): 8080 (http) with context path ''
2023-08-10 14:41:44,115 INFO  [main] (StartupInfoLogger.java:61)- Started YecaoshiApplication in 1.958 seconds (JVM running for 2.559)
2023-08-10 14:42:23,894 INFO  [http-nio-8080-exec-1] (DirectJDKLog.java:173)- Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-10 14:42:23,894 INFO  [http-nio-8080-exec-1] (FrameworkServlet.java:525)- Initializing Servlet 'dispatcherServlet'
2023-08-10 14:42:23,895 INFO  [http-nio-8080-exec-1] (FrameworkServlet.java:547)- Completed initialization in 1 ms
2023-08-10 14:42:23,952 INFO  [http-nio-8080-exec-1] (Logger.java:37)- [doudian sdk log] http request url: https://openapi-fxg.jinritemai.com/token/refresh?app_key=7182174365499278907&method=token.refresh&v=2&sign=e89a1f1c9e97f215e22a8cab689a077f&timestamp=1691649743946&access_token=, body: {"grant_type":"refresh_token","refresh_token":"1246ea0f-4194-48ef-b4e6-cb79bd19d45f"}
2023-08-10 14:42:24,418 INFO  [http-nio-8080-exec-1] (Logger.java:37)- [doudian sdk log] http response: {"code":10000,"data":{"access_token":"ddf868e7-22d0-41ad-95bf-63c4e837e41b","auth_subject_type":"DouKe","authority_id":"7216596770402681125","expires_in":518349,"refresh_token":"1246ea0f-4194-48ef-b4e6-cb79bd19d45f","scope":"SCOPE","shop_id":0,"shop_name":""},"log_id":"20230810144220C814F1F12D983E092E91","msg":"success","sub_code":"","sub_msg":""}
2023-08-10 14:42:24,423 INFO  [http-nio-8080-exec-1] (Logger.java:37)- [doudian sdk log] http request url: https://openapi-fxg.jinritemai.com/buyin/kolProductsDetail?app_key=7182174365499278907&method=buyin.kolProductsDetail&v=2&sign=ccdb580a3a30b3ac309c18d04c6c895a&timestamp=1691649744423&access_token=ddf868e7-22d0-41ad-95bf-63c4e837e41b, body: {"product_ids":[3627038679228413767]}
